en|Crematogaster capensis is a species of ant in tribe Crematogastrini. It was described by Mayr
en|Rhinella spinulosa is a species of toad in the family Bufonidae that is found in
en|Rhinella spinulosa has a wide altitudinal range, from the sea level to 5,100 m (16,700
en|Glyphidocera speculae is a moth in the family Autostichidae. It was described by Adamski in
en|The Dearborn Stars are an American soccer club based in Dearborn, Michigan that play in
en|Dearborn achieved prominence by qualifying for the 2013 edition of the Lamar Hunt U.S. Open
en|Note: Flags indicate national team as defined under FIFA eligibility rules; some limited exceptions apply.
en|Ahmed Haj Ali is an Eritrean politician who has held various posts within the Government
en|After serving as Minister of Labour and Human Welfare, he was moved to the post
en|As of 2011, he is the Minister of Energy and Mines. He has signed mining
en|Derek Gustafson (born June 21, 1979) is an American former professional ice hockey goaltender. He
en|Prior to beginning his professional career, Gustafson was a goaltender for the St. Lawrence University
en|The Bukit Timah Monkey Man, commonly abbreviated as BTM or BTMM, is a legendary creature
en|Alleged sightings of the animal are rare. Records mainly come from Malay folklore, accounts from
en|The BTM is said to be hominid-like, greyish in colour, and about 1.75 m (5
en|Sightings of the BTM are rare, almost entirely contained within the Bukit Timah region and
en|In 2007, a series of sightings were reported in the Singapore tabloid, The New Paper,
en|The Chinese-language paper Shin Min Daily News also reported on the BTM in 2008, stating
en|In late 2020, the Bukit Timah monkey man was allegedly spotted by a night hiker,
en|Monkeys are often seen roaming about and encountered by visitors in the Bukit Timah Nature
en|As a well known cultural trope in modern Singapore, the Bukit Timah Monkey Man has
en|Bones (season 6), Episode 18 - "The Truth In The Myth" features a scene whereby
en|Project Mending Sky, a contemporary art installation  uses the Bukit Timah Monkey Man as
en|Searching for 'Singapore's Bigfoot': Step inside the city's mysterious forest, an official Singapore Tourist Board
en|Jack and Jill at Bukit Timah Hill, a Singaporean modern children's book re-imagining traditional nursery
en|The Mystery of the Bukit Timah Monkey boy, a Singapore National Library Board initiative promoting
en|In Search Of The Bukit Timah Monkey Man , a short film project by Singaporean
en|Local Ghost Stories and Urban Legends, a Time Out list of the best known Singaporean
en|Maciel Luiz Franco (born 15 March 1972 in Bandeira do Sul), also known as Maciel,
en|Maciel spent seven years playing for South Korean K-League club Chunnam Dragons, from 1997 to
en|Iron(II) iodide is an inorganic compound with the chemical formula FeI2. It is used as
en|Iron(II) iodide can be synthesised by the reaction of iron with iodine at 500 °C:
en|This is in contrast to the other iron(II) halides, which are best prepared by reaction
en|Alternatively, the synthesis can be carried out by treating freshly reduced iron with concentrated hydriodic
en|In contrast to the ferrous fluoride, chloride and bromide, which form known hydrates, the diiodide
en|Iron(II) iodide is a hygroscopic red-violet to black solid that is soluble in water, ethanol
en|Dissolving iron metal in hydroiodic acid is another route to aqueous solutions of iron(II) iodide.
